유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg),추천 점수
티(티바나),아이스 레몬 캐모마일 블렌드 티,Tall,X,130.0,30.0,0.0,10.0,0.0,0.0,0
티(티바나),아이스 레몬 캐모마일 블렌드 티,Grande,X,175.0,42.0,0.0,10.0,0.0,0.0,0
티(티바나),스타벅스 클래식 밀크 티,Tall,O,299.0,31.0,5.0,80.0,13.0,190.0,0
티(티바나),스타벅스 클래식 밀크 티,Grande,O,410.0,43.0,6.0,105.0,18.0,230.0,0
티(티바나),스타벅스 클래식 밀크 티,Venti,O,505.0,53.0,8.0,130.0,22.0,270.0,0
티(티바나),아이스 스타벅스 클래식 밀크 티,Tall,O,198.0,21.0,3.0,50.0,9.0,80.0,0
티(티바나),아이스 스타벅스 클래식 밀크 티,Grande,O,270.0,28.0,4.0,70.0,12.0,110.0,0
티(티바나),아이스 스타벅스 클래식 밀크 티,Venti,O,300.0,31.0,5.0,80.0,13.0,120.0,0
티(티바나),스타벅스 클래식 밀크 티 보틀,One Size,O,485.0,51.0,7.0,130.0,21.0,195.0,0
티(티바나),제주 말차 라떼,Short,O,130.0,12.0,6.0,85.0,3.3,60.0,0
티(티바나),제주 말차 라떼,Tall,O,205.0,20.0,9.0,130.0,5.0,60.0,0
티(티바나),제주 말차 라떼,Grande,O,265.0,27.0,11.0,170.0,7.0,90.0,0
티(티바나),제주 말차 라떼,Venti,O,360.0,37.0,15.0,230.0,9.0,120.0,0
티(티바나),아이스 제주 말차 라떼,Tall,O,155.0,16.0,6.0,95.0,3.6,60.0,0
티(티바나),아이스 제주 말차 라떼,Grande,O,210.0,23.0,9.0,120.0,4.8,90.0,0
티(티바나),아이스 제주 말차 라떼,Venti,O,270.0,30.0,11.0,160.0,6.0,120.0,0
티(티바나),유자 민트 티,Tall,X,140.0,33.0,0.0,10.0,0.0,0.0,0
티(티바나),유자 민트 티,Grande,X,190.0,46.0,0.0,10.0,0.0,0.0,0
티(티바나),유자 민트 티,Venti,X,240.0,60.0,0.0,15.0,0.0,0.0,0
티(티바나),아이스 유자 민트 티,Tall,X,95.0,22.0,0.0,5.0,0.0,0.0,0
티(티바나),아이스 유자 민트 티,Grande,X,130.0,31.0,0.0,5.0,0.0,0.0,0
티(티바나),아이스 유자 민트 티,Venti,X,165.0,39.0,0.0,10.0,0.0,0.0,0
티(티바나),자몽 허니 블랙 티,Short,X,80.0,19.0,0.0,5.0,0.0,70.0,0
티(티바나),자몽 허니 블랙 티,Tall,X,125.0,30.0,0.0,5.0,0.0,70.0,0
티(티바나),자몽 허니 블랙 티,Grande,X,175.0,41.0,0.0,5.0,0.0,95.0,0
티(티바나),자몽 허니 블랙 티,Venti,X,220.0,52.0,0.0,7.1,0.0,150.0,0
티(티바나),아이스 자몽 허니 블랙 티,Tall,X,125.0,30.0,0.0,5.0,0.0,30.0,0
티(티바나),아이스 자몽 허니 블랙 티,Grande,X,175.0,41.0,0.0,5.7,0.0,45.0,0
티(티바나),아이스 자몽 허니 블랙 티,Venti,X,220.0,52.0,0.0,7.1,0.0,55.0,0
티(티바나),아이스 자몽 허니 블랙 티,Trenta,X,345.0,79.0,1.0,10.0,0.0,75.0,0
티(티바나),제주 유기농 녹차로 만든 티,Tall,X,0.0,0.0,0.0,0.0,0.0,16.0,0
티(티바나),제주 유기농 녹차로 만든 티,Venti,X,0.0,0.0,0.0,0.0,0.0,32.0,0
티(티바나),아이스 제주 유기농 녹차로 만든 티,Tall,X,0.0,0.0,0.0,0.0,0.0,16.0,0
티(티바나),아이스 제주 유기농 녹차로 만든 티,Venti,X,0.0,0.0,0.0,0.0,0.0,32.0,0
티(티바나),잉글리쉬 브렉퍼스트 티,Tall,X,0.0,0.0,0.0,0.0,0.0,70.0,0
티(티바나),잉글리쉬 브렉퍼스트 티,Venti,X,0.0,0.0,0.0,0.0,0.0,150.0,0
티(티바나),아이스 잉글리쉬 브렉퍼스트 티,Tall,X,0.0,0.0,0.0,0.0,0.0,40.0,0
티(티바나),아이스 잉글리쉬 브렉퍼스트 티,Venti,X,0.0,0.0,0.0,0.0,0.0,115.0,0
티(티바나),얼 그레이 티,Tall,X,0.0,0.0,0.0,0.0,0.0,70.0,0
티(티바나),얼 그레이 티,Venti,X,0.0,0.0,0.0,0.0,0.0,120.0,0
티(티바나),아이스 얼 그레이 티,Tall,X,0.0,0.0,0.0,0.0,0.0,50.0,0
티(티바나),아이스 얼 그레이 티,Venti,X,0.0,0.0,0.0,0.0,0.0,115.0,0
티(티바나),유스베리 티,Tall,X,0.0,0.0,0.0,0.0,0.0,20.0,0
티(티바나),유스베리 티,Venti,X,0.0,0.0,0.0,0.0,0.0,40.0,0
티(티바나),아이스 유스베리 티,Tall,X,0.0,0.0,0.0,0.0,0.0,20.0,0
티(티바나),아이스 유스베리 티,Venti,X,0.0,0.0,0.0,0.0,0.0,40.0,0
티(티바나),히비스커스 블렌드 티,Tall,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),히비스커스 블렌드 티,Venti,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),아이스 히비스커스 블렌드 티,Tall,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),아이스 히비스커스 블렌드 티,Venti,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),민트 블렌드 티,Tall,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),민트 블렌드 티,Venti,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),아이스 민트 블렌드 티,Tall,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),아이스 민트 블렌드 티,Venti,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),캐모마일 블렌드 티,Tall,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),캐모마일 블렌드 티,Venti,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),아이스 캐모마일 블렌드 티,Tall,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),아이스 캐모마일 블렌드 티,Venti,X,0.0,0.0,0.0,0.0,0.0,0.0,0
티(티바나),레드 파워 패션 티,Grande,X,190.0,31.0,1.0,40.0,0.0,33.0,0
기타 제조 음료,스타벅스 딸기 라떼,Tall,O,150.0,24.0,3.0,55.0,2.0,0.0,0
기타 제조 음료,스타벅스 딸기 라떼,Grande,O,210.0,36.0,4.0,75.0,2.6,0.0,0
기타 제조 음료,스타벅스 딸기 라떼,Venti,O,240.0,40.0,5.0,85.0,3.1,0.0,0
기타 제조 음료,시그니처 핫 초콜릿,Short,O,255.0,23.0,8.0,80.0,10.0,10.0,0
기타 제조 음료,시그니처 핫 초콜릿,Tall,O,410.0,39.0,13.0,135.0,15.0,15.0,0
기타 제조 음료,시그니처 핫 초콜릿,Grande,O,540.0,50.0,17.0,180.0,19.0,20.0,0
기타 제조 음료,시그니처 핫 초콜릿,Venti,O,655.0,65.0,21.0,220.0,22.0,25.0,0
기타 제조 음료,아이스 시그니처 초콜릿,Tall,O,280.0,22.0,8.0,100.0,13.0,15.0,0
